trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
740,True,"{'a': 0, 'e': 0}",35,0,-15.658698682345381,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
741,True,"{'a': 0, 'e': 0}",20,0,-46.48031474114885,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
742,True,"{'a': 0, 'e': 0}",20,0,-37.1425360707132,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
743,True,"{'a': 0, 'e': 0}",20,0,11.679998874831275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
744,True,"{'a': 0, 'e': 0}",25,0,23.579867400642556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
745,True,"{'a': 0, 'e': 0}",20,0,-43.61182097420477,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
746,True,"{'a': 0, 'e': 0}",25,0,-1.2900907555734313,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
747,True,"{'a': 0, 'e': 0}",30,0,40.289259152729386,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
748,True,"{'a': 0, 'e': 0}",30,0,13.60121556140445,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
749,True,"{'a': 0, 'e': 0}",20,0,-21.88407975530074,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
750,True,"{'a': 0, 'e': 0}",20,0,18.289623153504085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
751,True,"{'a': 0, 'e': 0}",20,0,3.3417791033635247,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
752,True,"{'a': 0, 'e': 0}",25,0,-23.301819068785804,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
753,True,"{'a': 0, 'e': 0}",20,0,16.20578200476458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
754,True,"{'a': 0, 'e': 0}",30,0,7.3812635411822045,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
755,True,"{'a': 0, 'e': 0}",25,0,-34.405957036897995,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
756,True,"{'a': 0, 'e': 0}",30,0,-15.139918602084458,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
757,True,"{'a': 0, 'e': 0}",25,0,-37.86628152914433,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
758,True,"{'a': 0, 'e': 0}",20,0,-1.1099051350890763,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
759,True,"{'a': 0, 'e': 0}",20,0,-26.367827420825698,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
760,True,"{'a': 0, 'e': 0}",35,0,-75.7635331851175,"{0: 30, 1: 0, 2: 0, 3: 5, 4: 0}",0
761,True,"{'a': 0, 'e': 0}",20,0,-22.324300504613277,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
762,True,"{'a': 0, 'e': 0}",20,0,3.751813977943506,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
763,True,"{'a': 0, 'e': 0}",35,0,-1.4644068248056685,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
764,True,"{'a': 0, 'e': 0}",20,0,9.15149686481405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
765,True,"{'a': 0, 'e': 0}",30,0,-13.841668661750626,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
766,True,"{'a': 0, 'e': 0}",20,0,-24.344307507660254,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
767,True,"{'a': 0, 'e': 0}",20,0,-86.72864273506106,"{0: 15, 1: 0, 2: 0, 3: 5, 4: 0}",0
768,True,"{'a': 0, 'e': 0}",25,0,-22.197242495369203,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
769,True,"{'a': 0, 'e': 0}",20,0,-15.571818647363887,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
770,True,"{'a': 0, 'e': 0}",20,0,-26.969296963088485,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
771,True,"{'a': 0, 'e': 0}",25,0,-61.63211629201649,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
772,True,"{'a': 0, 'e': 0}",20,0,-47.952377113607064,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
773,True,"{'a': 0, 'e': 0}",25,0,-124.25177543902302,"{0: 18, 1: 0, 2: 0, 3: 7, 4: 0}",0
774,True,"{'a': 0, 'e': 0}",30,0,-8.18921096742518,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
